time,open,high,low,close,tick_volume,spread,real_volume
2025-02-13,2904.36,2929.5,2900.56,2928.34,86887,5,0
2025-02-14,2927.64,2940.06,2877.03,2882.5,96772,5,0
2025-02-17,2883.13,2906.4,2877.6,2899.45,69702,5,0
2025-02-18,2898.61,2937.05,2891.98,2935.08,72253,5,0
2025-02-19,2935.73,2947.05,2918.61,2932.99,84281,5,0
2025-02-20,2933.46,2954.91,2924.26,2939.06,83516,5,0
2025-02-21,2938.84,2949.59,2916.74,2935.89,84923,5,0
2025-02-24,2934.65,2956.18,2921.33,2952.62,85776,5,0
2025-02-25,2952.64,2953.79,2888.27,2914.82,94373,5,0
2025-02-26,2915.14,2930.08,2890.77,2916.11,81185,5,0
2025-02-27,2916.79,2920.76,2867.79,2877.12,93444,5,0
2025-02-28,2877.11,2885.05,2832.57,2859.06,100955,5,0
2025-03-03,2857.88,2895.29,2857.88,2892.99,94797,0,0
2025-03-04,2892.44,2927.76,2881.99,2917.7,90567,5,0
2025-03-05,2918.13,2930.06,2894.3,2919.13,95328,5,0
2025-03-06,2919.67,2926.52,2891.12,2910.74,89678,5,0
2025-03-07,2911.04,2930.33,2894.8,2911.94,98005,5,0
2025-03-10,2912.72,2918.22,2880.28,2889.24,82830,5,0
2025-03-11,2888.27,2922.03,2880.26,2915.5,69043,5,0
2025-03-12,2915.81,2940.63,2905.97,2933.31,75738,5,0
2025-03-13,2934.46,2989.1,2932.99,2988.8,73352,5,0
2025-03-14,2989.38,3004.85,2978.45,2986.24,79493,5,0
2025-03-17,2983.84,3001.99,2982.22,3001.02,63203,5,0
2025-03-18,3000.79,3038.26,2999.56,3033.76,76386,5,0
2025-03-19,3033.98,3051.84,3022.89,3047.16,68372,5,0
2025-03-20,3048.35,3057.26,3025.52,3044.47,77931,5,0
2025-03-21,3044.36,3047.39,2999.55,3022.94,69395,5,0
2025-03-24,3023.36,3033.22,3002.46,3011.96,74983,5,0
2025-03-25,3011.96,3035.95,3007.64,3019.81,71743,5,0
2025-03-26,3019.69,3032.04,3012.45,3018.85,75702,5,0
2025-03-27,3019.04,3059.56,3017.6,3056.42,84353,5,0
2025-03-28,3056.31,3086.77,3053.75,3084.2,75990,5,0
2025-03-31,3086.59,3127.94,3076.72,3123.96,81475,5,0
2025-04-01,3123.22,3149.04,3100.87,3114.12,78809,5,0
2025-04-02,3114.22,3142.05,3104.45,3132.12,83654,5,0
2025-04-03,3140.28,3167.73,3054.08,3114.19,99601,5,0
2025-04-04,3115.38,3136.58,3015.78,3037.34,97301,5,0
2025-04-07,3008.13,3055.31,2956.26,2982.01,125111,0,0
2025-04-08,2982.99,3022.73,2974.73,2981.96,94684,5,0
2025-04-09,2982.88,3099.6,2970.07,3082.78,94465,5,0
2025-04-10,3079.66,3176.45,3071.36,3175.39,90706,5,0
2025-04-11,3176.0,3245.36,3176.0,3237.53,112866,0,0
2025-04-14,3228.31,3245.69,3193.57,3210.46,101469,5,0
2025-04-15,3211.57,3233.57,3210.01,3229.36,75621,5,0
2025-04-16,3230.96,3342.94,3229.84,3342.85,102898,5,0
2025-04-17,3343.19,3357.65,3283.84,3327.24,96853,5,0
2025-04-21,3332.92,3430.5,3329.03,3424.4,97594,5,0
2025-04-22,3425.06,3499.98,3366.78,3380.93,99124,5,0
2025-04-23,3347.99,3386.58,3259.98,3288.12,100890,0,0
2025-04-24,3289.07,3367.17,3288.83,3348.58,102093,0,0
2025-04-25,3351.34,3370.76,3265.19,3318.62,107540,5,0
2025-04-28,3325.67,3353.0,3268.19,3343.99,104994,5,0
2025-04-29,3344.55,3348.67,3299.69,3317.2,85655,5,0
2025-04-30,3313.72,3328.02,3267.13,3288.27,102525,5,0
2025-05-01,3288.7,3290.21,3201.91,3237.89,101000,5,0
2025-05-02,3240.43,3269.28,3222.78,3240.3,103099,5,0
2025-05-05,3240.86,3337.54,3237.44,3333.96,87858,5,0
2025-05-06,3336.06,3434.75,3323.52,3430.46,90726,5,0
2025-05-07,3437.65,3437.85,3360.21,3364.44,93712,5,0
2025-05-08,3365.74,3414.78,3288.75,3305.85,90866,5,0
2025-05-09,3308.01,3347.53,3274.86,3327.15,86055,5,0
2025-05-12,3291.47,3299.73,3207.74,3234.4,107179,5,0
2025-05-13,3238.82,3265.43,3215.99,3249.98,96281,5,0
2025-05-14,3249.67,3257.05,3168.03,3177.4,88022,5,0
2025-05-15,3178.39,3240.5,3120.78,3239.64,89383,5,0
2025-05-16,3238.34,3252.14,3154.35,3201.0,99147,5,0
2025-05-19,3219.73,3249.75,3206.42,3230.12,95835,5,0
